Customer Account,Customer Bank,Amount of Transfer,Offshore Transfer,Customer Account Age,Customer Nationality,Suspicious activity found in previous transactions,KYC Complied,Receivers Account,Receivers Bank,Frequency of transaction in last 30 days,Source country,Receiving country,Transaction Type,Average Transaction Amount,Transaction Amount Relative to Average,Is Laundering
5991F9EA8,1,34984.23,1,18.39,USA,0,1,C4468E5EC,65,8.0,UK,USA,Credit Card,34984.23,0.9548799444284538,0
5991F9EA8,1,4702.39,1,24.17,India,0,1,981DCCF79,14,1.0,UK,Canada,ACH,19843.31,0.239004431395223,0
5991F9EA8,1,43305.86,1,26.85,India,0,1,103A17C3C,62,6.0,UK,India,ACH,27664.160000000003,1.5323271159793919,0
5991F9EA8,1,96175.82,1,10.97,USA,1,1,470E44D99,100,6.0,UK,UAE,Wire,44792.075000000004,2.174741966523075,0
67F0E945E,1,59639.99,0,6.64,USA,0,1,A74ABEBC2,74,4.0,UK,UK,Wire,59639.99,1.031449242507955,0
67F0E945E,1,45204.38,1,22.52,USA,0,0,D3209B9F4,23,3.0,UK,USA,ACH,52422.185,0.9503993625299997,0
67F0E945E,1,10063.17,0,22.39,USA,0,1,410EDC84E,66,6.0,UK,UK,ACH,38302.51333333333,0.17989108220246008,0
67F0E945E,1,321015.92,1,14.8,India,0,1,18C427CEA,24,3.0,UK,Canada,ACH,108980.86499999999,2.9002137354702198,0
67F0E945E,1,22722.27,0,1.34,India,0,1,D0AA6862E,71,5.0,UK,UK,ACH,91729.146,0.32364779843349756,0
67F0E945E,1,35727.68,0,18.5,Canada,0,0,DFA7DADE6,23,3.0,UK,UK,Bitcoin,82395.56833333333,0.5317195475003164,0
67F0E945E,1,81654.89,0,11.5,UK,0,0,26144DE2B,18,5.0,UK,UK,Wire,82289.75714285714,0.9973802092033407,1
67F0E945E,1,46293.7,1,11.76,India,0,1,4C1042E04,82,5.0,UK,India,ACH,77790.24999999999,0.6015398240062477,0
67F0E945E,1,21410.29,1,20.54,USA,0,0,FC9AE2C93,95,4.0,UK,UAE,ACH,71525.81,0.3203752213667911,0
67F0E945E,1,7921.49,1,26.42,USA,0,1,54E716CFB,75,5.0,UK,USA,Credit Card,65165.37799999999,0.05891026986754322,1
67BEDD850,1,10851.25,1,10.46,Canada,0,0,8FD27E01A,55,6.0,USA,India,Credit Card,10851.25,0.9817162812666436,0
67BEDD850,1,9740.99,0,14.08,India,0,1,5FAEB6A56,61,4.0,USA,USA,ACH,10296.119999999999,0.8512558162109274,0
67BEDD850,1,3410.63,0,18.25,USA,0,1,066AD44E5,29,5.0,USA,USA,Credit Card,8000.956666666666,0.46678042932003194,0
67BEDD850,1,36343.87,0,10.4,USA,0,1,77F72E5CE,5,7.0,USA,USA,ACH,15086.685000000001,2.482433465835877,0
67BEDD850,1,12739.58,1,14.52,USA,0,1,B4C539C03,8,3.0,USA,India,Wire,14617.264000000001,0.8023195315000206,0
67BEDD850,1,19416.51,0,15.46,Canada,0,1,421D152A7,95,7.0,USA,USA,Wire,15417.138333333334,1.2850631011588347,0
67BEDD850,1,5759.55,0,27.17,India,0,1,2BFC19AFC,62,5.0,USA,USA,ACH,14037.482857142857,0.4903893519406559,0
BAEBC968A,1,595282.59,1,5.59,India,0,0,66D7FA48D,52,7.0,UK,USA,Credit Card,595282.59,1.0930025587306855,0
BAEBC968A,1,89412.53,1,28.98,India,0,1,7DDC2A329,3,5.0,UK,USA,ACH,342347.56,0.31672722635848527,1
BAEBC968A,1,27115.15,1,22.76,Canada,0,0,615C71A83,7,10.0,UK,India,Reinvestment,237270.09,0.20943895063154108,1
BAEBC968A,1,44574.14,1,1.32,UK,0,0,7DB17A219,94,9.0,UK,USA,Wire,189096.1025,0.2057440146529162,0
BAEBC968A,1,4046.08,0,11.5,USA,0,1,63886F4F5,22,6.0,UK,UK,ACH,152086.098,0.006983565482234964,0
BAEBC968A,1,9603.65,1,23.24,UK,0,1,A4DA23009,44,4.0,UK,USA,ACH,128339.02333333333,0.1657290140579285,0
BAEBC968A,1,4086.72,0,1.97,India,0,1,52D10242D,11,3.0,UK,UK,Credit Card,110588.69428571429,-0.030356540923669878,0
FC6C472C4,1,4589.08,1,8.48,UK,0,0,40DB3612E,72,6.0,UK,Canada,Credit Card,4589.08,0.9071502674559835,0
FC6C472C4,1,2539.87,0,4.67,USA,0,0,DC076355E,81,7.0,UK,UK,ACH,3564.475,0.783028460046808,0
FC6C472C4,1,135125.04,1,18.41,UK,0,0,9C78117F8,50,8.0,UK,Canada,Wire,47417.99666666667,2.755506351222409,0
FC6C472C4,1,42354.61,1,17.15,USA,1,1,3800EC96A,80,4.0,UK,UAE,Wire,46152.15000000001,0.8638153025514144,1
FC6C472C4,1,47309.99,1,1.17,USA,0,0,094A5ABAE,65,3.0,UK,USA,Wire,46383.71800000001,1.0446447916120325,0
FC6C472C4,1,4876.86,1,10.24,USA,0,1,7EFD90145,88,0.01,UK,USA,ACH,39465.90833333333,0.061285116056348975,1
FC6C472C4,1,33360.57,0,6.54,UK,0,0,391B201FA,97,9.0,UK,UK,Wire,38593.717142857146,0.8535981064420101,1
FC6C472C4,1,16548.13,0,21.66,USA,0,0,391E0CE67,95,4.0,UK,UK,Wire,35838.01875,0.4071520546688736,0
F89CA5819,1,92424.2,0,29.38,Canada,0,1,5C679853A,20,3.0,USA,USA,Wire,92424.2,1.0536984935694986,0
